dataset,embedding_size,num_layers,fold,loss,f1,acc,lr,it,peak_mem,seed,ppv
aifb,512,5,4,0.7687153286746996,0.4975633528265107,0.7142857142857143,0.0622659996151924,218.0,75682816.0,4,0
aifb,1024,1,4,0.6513361918168561,0.7695006747638327,0.7857142857142857,0.0622659996151924,177.0,35557888.0,4,1
aifb,1024,1,4,1.02557893815457,0.3066666666666667,0.5357142857142857,0.0622659996151924,270.0,35557888.0,4,0
aifb,1024,2,4,0.7453316329893764,0.7648148148148147,0.7857142857142857,0.0622659996151924,337.0,117048832.0,4,1
aifb,1024,2,4,0.8610809066963876,0.4964285714285714,0.7142857142857143,0.0622659996151924,487.0,117048832.0,4,0
aifb,1024,3,4,0.7522816139910926,0.631954887218045,0.75,0.0622659996151924,280.0,143304192.0,4,1
aifb,1024,3,4,0.7425250615651917,0.7032051282051283,0.7857142857142857,0.0622659996151924,402.0,143304192.0,4,0
aifb,1024,4,4,0.7688562282651438,0.501984126984127,0.7142857142857143,0.0622659996151924,440.0,145441280.0,4,1
aifb,1024,4,4,0.7227544540922685,0.6037037037037037,0.75,0.0622659996151924,308.0,145441280.0,4,0
aifb,1024,5,4,0.7933481810601429,0.5001814882032668,0.7142857142857143,0.0622659996151924,157.0,146682880.0,4,1
aifb,1024,5,4,0.7742387245965778,0.4964285714285714,0.7142857142857143,0.0622659996151924,166.0,146682880.0,4,0
am,256,1,0,1.1063201049492102,0.4864782276546982,0.639751552795031,0.0742629989981651,1995.0,82923008.0,0,1
am,256,1,0,1.155702207082717,0.4594374324578872,0.6211180124223602,0.0742629989981651,1999.0,84312576.0,0,0
am,256,2,0,0.7228141891478329,0.6475332423679365,0.7577639751552795,0.0742629989981651,1990.0,1089753600.0,0,1
am,256,2,0,0.8805199360165918,0.5341149646413781,0.6894409937888198,0.0742629989981651,1999.0,1089753600.0,0,0
am,256,3,0,0.6719539459193207,0.654149810709031,0.782608695652174,0.0742629989981651,1999.0,5641157120.0,0,1
am,256,3,0,0.7626487198938551,0.6395319443125085,0.7577639751552795,0.0742629989981651,1997.0,5641157120.0,0,0
am,256,4,0,0.6616278886389584,0.657404294320176,0.7888198757763976,0.0742629989981651,1979.0,7839790080.0,0,1
am,256,4,0,0.74897483509799,0.6227573124935993,0.7763975155279503,0.0742629989981651,1999.0,7839790080.0,0,0
am,256,5,0,0.6780837172741861,0.6723156644277907,0.7888198757763976,0.0742629989981651,1998.0,8031417856.0,0,1
am,256,5,0,0.7528096024952249,0.6614706562393147,0.7639751552795031,0.0742629989981651,1969.0,8031417856.0,0,0
am,512,1,0,1.0079031203329518,0.5323439163608297,0.6708074534161491,0.0742629989981651,1999.0,145883648.0,0,1
am,512,1,0,1.0847888418567595,0.4995407255979286,0.6708074534161491,0.0742629989981651,1999.0,145883648.0,0,0
am,512,2,0,0.6856213223878763,0.6813528023852429,0.8012422360248447,0.0742629989981651,1999.0,1975136768.0,0,1
am,512,2,0,0.8241670615555245,0.607338873346649,0.7204968944099379,0.0742629989981651,1998.0,1975136768.0,0,0
am,1024,1,0,0.9731854867628408,0.5700353518535336,0.6832298136645962,0.0742629989981651,1995.0,270598656.0,0,1
am,1024,1,0,1.0145415876275126,0.5282426901605137,0.6645962732919255,0.0742629989981651,1997.0,270598656.0,0,0
am,1024,2,0,0.6855733721625733,0.6752587717993994,0.7888198757763976,0.0742629989981651,1998.0,3748041728.0,0,1
am,1024,2,0,0.7503654011143565,0.6208064940983372,0.7391304347826086,0.0742629989981651,1999.0,3748041728.0,0,0
am,256,1,1,1.0988458414069633,0.4845558481922118,0.6211180124223602,0.0742629989981651,1998.0,84312576.0,1,1
am,256,1,1,1.2039055486582386,0.4555324404562124,0.5900621118012422,0.0742629989981651,1717.0,84312576.0,1,0
am,256,2,1,0.7230379945954889,0.6505964477648531,0.7639751552795031,0.0742629989981651,1985.0,1089753600.0,1,1
am,256,2,1,0.8039601862365633,0.6259149050592901,0.7142857142857143,0.0742629989981651,1994.0,1089753600.0,1,0
am,256,3,1,0.6964581318337599,0.6820873990909339,0.7763975155279503,0.0742629989981651,1999.0,5641157120.0,1,1
am,256,3,1,0.7754688486826526,0.6693566566699519,0.7515527950310559,0.0742629989981651,1998.0,5641157120.0,1,0
am,256,4,1,0.579874153367064,0.7288992202093808,0.8260869565217391,0.0742629989981651,1999.0,7839790080.0,1,1
am,256,4,1,0.6474007722968119,0.6798497078817445,0.7701863354037267,0.0742629989981651,1998.0,7839790080.0,1,0
am,256,5,1,0.587756191786009,0.7764170815745028,0.8136645962732919,0.0742629989981651,1999.0,8031417856.0,1,1
am,256,5,1,0.6902676374170751,0.6998215558941099,0.7950310559006211,0.0742629989981651,1987.0,8031417856.0,1,0
am,512,1,1,0.972905566093338,0.5334965217913189,0.6583850931677019,0.0742629989981651,1997.0,145883648.0,1,1
am,512,1,1,0.9913117655116293,0.552568722123987,0.6645962732919255,0.0742629989981651,1998.0,145883648.0,1,0
am,512,3,0,0.6604026374508719,0.679173006984774,0.7950310559006211,0.0742629989981651,1994.0,10543258112.0,0,1
am,512,3,0,0.7450734053817338,0.637734632225104,0.7453416149068323,0.0742629989981651,1998.0,10542871552.0,0,0
am,512,2,1,0.6360299486334704,0.6796861508390744,0.782608695652174,0.0742629989981651,1995.0,1975632384.0,1,1
am,512,2,1,0.6782166278529655,0.6617227756613947,0.7763975155279503,0.0742629989981651,1999.0,1975632384.0,1,0
am,512,3,1,0.573670524120273,0.7835486444993891,0.8385093167701864,0.0742629989981651,1999.0,10542871552.0,1,1
am,512,3,1,0.6484026491245372,0.7251400766416246,0.8198757763975155,0.0742629989981651,1999.0,10542871552.0,1,0
am,1024,1,1,0.8685954934831479,0.5797464068653878,0.7142857142857143,0.0742629989981651,1996.0,270506496.0,1,1
am,1024,1,1,0.9266590382473836,0.6121103499674928,0.7018633540372671,0.0742629989981651,1998.0,270506496.0,1,0
am,1024,2,1,0.6220113040597137,0.7490126131564292,0.8322981366459627,0.0742629989981651,1992.0,3748371968.0,1,1
am,1024,2,1,0.6852720396218581,0.6786404985474969,0.8012422360248447,0.0742629989981651,1999.0,3748371968.0,1,0
am,256,1,2,1.1331799652860928,0.4523655244173116,0.58125,0.0742750018835067,1999.0,84220416.0,2,1
am,256,1,2,1.174605765479204,0.4253271684820033,0.6,0.0742750018835067,1950.0,84220416.0,2,0
am,256,2,2,0.7972639901458738,0.6862318436481115,0.75,0.0742750018835067,1996.0,1090249216.0,2,1
am,256,2,2,0.8709901911458597,0.6434769760276445,0.70625,0.0742750018835067,1999.0,1090249216.0,2,0
am,256,3,2,0.734446042317497,0.6922056003451353,0.74375,0.0742750018835067,1992.0,5638792192.0,2,1
am,256,3,2,0.8316585263981153,0.6383752153577766,0.69375,0.0742750018835067,1999.0,5638792192.0,2,0
am,256,4,2,0.7184525066097915,0.6956019468316567,0.7375,0.0742750018835067,1999.0,7837684736.0,2,1
am,256,4,2,0.745044002172486,0.7109764972972521,0.74375,0.0742750018835067,1999.0,7837238272.0,2,0
am,256,5,2,0.7291955224067522,0.6463175638128832,0.75,0.0742750018835067,1999.0,8029021696.0,2,1
am,256,5,2,0.757684182145575,0.6199670513956229,0.73125,0.0742750018835067,1999.0,8029021696.0,2,0
am,512,1,2,1.0636623839714123,0.5038158816536095,0.625,0.0742750018835067,1999.0,145791488.0,2,1
am,512,1,2,1.0787711006336524,0.4930735930735931,0.61875,0.0742750018835067,1998.0,145791488.0,2,0
am,512,2,2,0.7939769618816227,0.6213526129321015,0.7375,0.0742750018835067,1995.0,1975632384.0,2,1
am,512,2,2,0.8373161733572454,0.5995265513018128,0.7375,0.0742750018835067,1998.0,1975632384.0,2,0
am,512,3,2,0.7152041769086781,0.6344223025631499,0.74375,0.0742750018835067,1996.0,10542871552.0,2,1
am,512,3,2,0.774646183515299,0.6862321436629205,0.75,0.0742750018835067,1981.0,10542871552.0,2,0
am,1024,1,2,1.0196858862786635,0.5424462701399282,0.64375,0.0742750018835067,1999.0,270506496.0,2,1
am,512,4,0,0.6605995595016396,0.6553316348037757,0.7888198757763976,0.0742629989981651,1999.0,14668802560.0,0,1
am,512,4,0,0.7406385772275477,0.6441235519414279,0.7577639751552795,0.0742629989981651,1998.0,14668802560.0,0,0
am,512,5,0,0.6523142194503228,0.6628764444088057,0.782608695652174,0.0742629989981651,1995.0,14860422656.0,0,1
am,512,5,0,0.7357709219199424,0.6403580966875995,0.7577639751552795,0.0742629989981651,1996.0,14860422656.0,0,0
am,512,4,1,0.5556939130072557,0.7236286570267567,0.8136645962732919,0.0742629989981651,1999.0,14668795904.0,1,1
am,512,4,1,0.618533876871377,0.7126404023863189,0.7950310559006211,0.0742629989981651,1998.0,14668795904.0,1,0
am,1024,3,0,0.6790231332694621,0.6122526512900844,0.7639751552795031,0.0742629989981651,1996.0,20352989696.0,0,1
am,1024,3,0,0.7407425721264151,0.5704681222082949,0.7267080745341615,0.0742629989981651,1999.0,20352989696.0,0,0
am,1024,4,0,,,,,,,0,1
am,1024,4,0,,,,,,,0,0
am,1024,5,0,,,,,,,0,1
am,1024,5,0,,,,,,,0,0
