dataset,embedding_size,num_layers,loss,f1,acc,lr,it,peak_mem,ppv,seed
am,768,5,0.5218573451216509,0.8121827345435303,0.8232323232323232,0.01,17818,21691514368,True,7
am,768,5,0.5015121436671522,0.8594669770479975,0.8737373737373737,0.01,17818,21691514368,True,8
am,768,5,0.47924842566662906,0.8213108054884647,0.8535353535353535,0.01,17818,21691514368,True,9
am,768,5,0.5543539071395228,0.7475604242136591,0.8080808080808081,0.01,17818,21691514368,False,0
am,768,5,0.5596116278659429,0.7473438722978685,0.8080808080808081,0.01,17818,21691514368,False,1
am,768,5,0.515055223931351,0.7901391825315595,0.8484848484848485,0.01,17818,21691514368,False,2
am,768,5,0.5313884753188425,0.8044877679939599,0.8333333333333334,0.01,17818,21691514368,False,3
am,768,5,0.5667422869869267,0.8059463230813257,0.8181818181818182,0.01,17818,21691514368,False,4
am,768,5,0.6022252646221294,0.7332283217023478,0.7929292929292929,0.01,17818,21691514368,False,5
am,768,5,0.5426882968285001,0.7937625174427761,0.8282828282828283,0.01,17818,21691514368,False,6
am,768,5,0.5711126213016157,0.7628879761908766,0.7929292929292929,0.01,17818,21691514368,False,7
am,768,5,0.5563802348254256,0.8036050882233557,0.8282828282828283,0.01,17818,21691514368,False,8
am,768,5,0.5500965260623362,0.8000422517068128,0.8080808080808081,0.01,17818,21691514368,False,9
mutag,1024,2,0.4705153530411381,0.7443609022556392,0.7941176470588235,0.01,3748,113896448,True,0
mutag,1024,2,0.4817235311550083,0.7730423620025675,0.8088235294117647,0.01,3748,401997312,True,1
mutag,1024,2,0.5276245986998263,0.7381258023106547,0.7794117647058824,0.01,3748,401997312,True,2
mutag,1024,2,0.4546600324832606,0.7730423620025675,0.8088235294117647,0.01,3748,401997312,True,3
mutag,1024,2,0.5220677217123594,0.7509157509157509,0.7794117647058824,0.01,3748,401997312,True,4
mutag,1024,2,0.4750980969396327,0.7874999999999999,0.8235294117647058,0.01,3748,401997312,True,5
mutag,1024,2,0.5005151702711086,0.7443609022556392,0.7941176470588235,0.01,3748,401997312,True,6
mutag,1024,2,0.45283980003412944,0.7215397215397216,0.7794117647058824,0.01,3748,401997312,True,7
mutag,1024,2,0.5325453077715495,0.778944736184046,0.8088235294117647,0.01,3748,401997312,True,8
mutag,1024,2,0.5090546742763307,0.7078410311493019,0.7647058823529411,0.01,3748,401997312,True,9
mutag,1024,2,0.6582961997318816,0.573027573027573,0.6617647058823529,0.01,3626,401997312,False,0
mutag,1024,2,0.5802982350591291,0.6584721120803595,0.7205882352941176,0.01,3626,401997312,False,1
mutag,1024,2,0.629331820804845,0.61015561015561,0.6911764705882353,0.01,3626,401997312,False,2
mutag,1024,2,0.5843246990247494,0.6345120226308345,0.7205882352941176,0.01,3626,401997312,False,3
mutag,1024,2,0.64006331187306,0.6222222222222222,0.7058823529411765,0.01,3626,401997312,False,4
mutag,1024,2,0.6325242482948783,0.6682926829268293,0.7205882352941176,0.01,3626,401997312,False,5
mutag,1024,2,0.6049874349897222,0.6222222222222222,0.7058823529411765,0.01,3626,401997312,False,6
mutag,1024,2,0.6481848921533986,0.6222222222222222,0.7058823529411765,0.01,3626,401997312,False,7
mutag,1024,2,0.5931793898706804,0.6584721120803595,0.7205882352941176,0.01,3626,401997312,False,8
mutag,1024,2,0.6523777577697141,0.5617615467239527,0.6470588235294118,0.01,3626,401997312,False,9
bgs,512,5,0.41816466853372336,0.7919655667144907,0.8275862068965517,0.01,8645,2897273344,True,0
bgs,512,5,0.552070434807968,0.8273809523809523,0.8620689655172413,0.01,8645,2900961792,True,1
bgs,512,5,0.9673349713181836,0.5054263565891474,0.6206896551724138,0.01,8645,2900961792,True,2
bgs,512,5,0.4795722168762473,0.7410714285714286,0.7931034482758621,0.01,8645,2900961792,True,3
bgs,512,5,0.42812734661930085,0.8273809523809523,0.8620689655172413,0.01,8645,2900961792,True,4
bgs,512,5,0.5676451021456775,0.7410714285714286,0.7931034482758621,0.01,8645,2900961792,True,5
bgs,512,5,0.5617358565873215,0.7751937984496124,0.8275862068965517,0.01,8645,2900961792,True,6
bgs,512,5,0.4383293732256847,0.7751937984496124,0.8275862068965517,0.01,8645,2900961792,True,7
bgs,512,5,0.5778550484248863,0.7410714285714286,0.7931034482758621,0.01,8645,2900961792,True,8
bgs,512,5,0.6398474896325246,0.5538461538461538,0.6896551724137931,0.01,8645,2900961792,True,9
bgs,512,5,0.4718421457107439,0.7919655667144907,0.8275862068965517,0.01,14185,2900961792,False,0
bgs,512,5,0.5789678120112293,0.8273809523809523,0.8620689655172413,0.01,14185,2900961792,False,1
bgs,512,5,1.0530807876020567,0.5054263565891474,0.6206896551724138,0.01,14185,2900961792,False,2
bgs,512,5,0.4678741150752118,0.7751937984496124,0.8275862068965517,0.01,14185,2900961792,False,3
bgs,512,5,0.4506660998165217,0.7919655667144907,0.8275862068965517,0.01,14185,2900961792,False,4
bgs,512,5,0.5596049447362393,0.8388888888888888,0.8620689655172413,0.01,14185,2900961792,False,5
bgs,512,5,0.5701893820570353,0.7751937984496124,0.8275862068965517,0.01,14185,2900961792,False,6
bgs,512,5,0.4836204984928358,0.7751937984496124,0.8275862068965517,0.01,14185,2900961792,False,7
bgs,512,5,0.5978671830003881,0.7410714285714286,0.7931034482758621,0.01,14185,2900961792,False,8
bgs,512,5,0.6411232787251416,0.6233766233766234,0.7241379310344828,0.01,14185,2900961792,False,9
